,name,text,url,follower_num
387,DIANE Gallagher,"RT @TheRealJuIian: @BreitbartNews Net Worth before running for @POTUS. 

@realDonaldTrump -  $4.5B

@BarackObama -  $3M

@HillaryClinton
@B…",https://pbs.twimg.com/profile_images/875758264016699392/jkUuuXES_normal.jpg,7394
643,Susie Kline,RT @TranslateRealDT: People are aware that the only problems I've managed to fix as President are the imaginary ones I made up myself. Obam…,https://pbs.twimg.com/profile_images/930976207948210178/k7eUqxVj_normal.jpg,7290
687,#TrumpSantaBaby,@GerbinoJeff @Fuctupmind Thats mr obama and mr obama to you bud.,https://pbs.twimg.com/profile_images/763383230103887872/2rkDq4Vb_normal.jpg,7060
811,Anaïs,"RT @krassenstein: Obama wore a tan suit and ate fancy mustard and the Republicans lost their sh!t.

Trump colludes with Russia to damage ou…",https://pbs.twimg.com/profile_images/751486790666706944/fORQnw78_normal.jpg,7056
177,Jim Bixby 🎄 🇺🇸,RT @Fighting_Bias: Like rand Paul style? https://t.co/rgums55o9w,https://pbs.twimg.com/profile_images/862876080687984641/0B0hPDNi_normal.jpg,6862
62,Ellen Weinstein,"RT @laladytoclt: @PalmerReport @realDonaldTrump ROLL TAPE PLEASE👇👇
https://t.co/GP7glGaeEQ",https://pbs.twimg.com/profile_images/739553886290120704/54KXSHHF_normal.jpg,6782
1546,Ellen Weinstein,RT @kylegriffin1: Bold move for Obama to say Merry Christmas after banning it for so many years. https://t.co/HfAPkEYp6x,https://pbs.twimg.com/profile_images/739553886290120704/54KXSHHF_normal.jpg,6782
2032,AMurray,"RT @FiveRights: Obama
illegally brought in 1000s Muslims
protected terror-related mosques in US
haltered US intelligence &amp; military to prot…",https://pbs.twimg.com/profile_images/738518103282221056/NXe1l6Gc_normal.jpg,6773
1722,B. Rod,"RT @Debradelai: (1) When the history of the Obama years is written, they will come to be known as the Dismal Eight. The time in which our s…",https://pbs.twimg.com/profile_images/920082654212505600/2bqXnJj7_normal.jpg,6754
856,Cherwyn  🙏🇺🇸🐰,RT @FoxNews: .@guypbenson Calls Out Media's 'Near Silence' on Obama-Hezbollah Bombshell Report https://t.co/Q4VSpR0yvC,https://pbs.twimg.com/profile_images/527171805308813312/mS7hWW-L_normal.jpeg,6745
421,Cherwyn  🙏🇺🇸🐰,"RT @marklevinshow: Smearing a real reporter to protect Obama-Hezbollah connection 
https://t.co/6lavNcGTKb",https://pbs.twimg.com/profile_images/527171805308813312/mS7hWW-L_normal.jpeg,6744
554,Shay Roadbeer Cormac,RT @omriceren: These people ran the most powerful country in the history of the world for almost a decade. https://t.co/Q63CKet7yE,https://pbs.twimg.com/profile_images/938832832201244672/JDpJIb0y_normal.jpg,6670
1647,Naoj🎗,RT @__CarmenLopez: Hilo: USA APOYA A LA REPÚBLICA DE CATALUNYA. https://t.co/LmMzgZaB0R,https://pbs.twimg.com/profile_images/914150042285592576/Gq72yq2-_normal.jpg,6638
797,Sean Lnnane,RT @MsAvaArmstrong: 8 years of Obama nearly stripped this country of its identity. That scares the crap out of me.,https://pbs.twimg.com/profile_images/903358693508620288/H4qxd_xd_normal.jpg,6631
493,Stacie,RT @drawandstrike: @Damanator @ThomasWictor Maybe some of you were fine with his attempts to cripple our Gov't when Obama was running it. I…,https://pbs.twimg.com/profile_images/916369669199720450/DSz7WtaO_normal.jpg,6617
1096,Troy Allen Humble,😂 https://t.co/JhiZ30RYJq,https://pbs.twimg.com/profile_images/945137497310298113/xYAeGgZ4_normal.jpg,6606
1891,D Villella ❄️,RT @TheRickyDavila: President Obama bringing Christmas presents to children this holiday season without the need for praise or gratitude is…,https://pbs.twimg.com/profile_images/829466022017064961/Uww4yWi0_normal.jpg,6524
978,Penny White XX,RT @CapMalcolm: Here’s a video of President Obama saying “Merry Christmas” over and over and over: https://t.co/Nxz8omSd2l via @slate,https://pbs.twimg.com/profile_images/939980321419771904/9aPcUOW6_normal.jpg,6438
1173,Smart Value,RT @smartvalueblog: RT Obama's NDAA 2012 was Unconstitutional #USA #Americans #America #TeaParty #PJNET #NRA #Trump #Cruz #Congress @GOP ht…,https://pbs.twimg.com/profile_images/458755680132808705/26Ge9owZ_normal.jpeg,6407
2005,JPpatriot,RT @DineshDSouza: How Obama must be scowling as he sees his successor has made it acceptable—even cool—to dispense with Happy Holidays &amp; sa…,https://pbs.twimg.com/profile_images/816429011622563840/t4hLkXjC_normal.jpg,6336
19,"Typhanie, 6",RT @lowkeylean: all I'm saying is that it used to be 7 for $27 when we had Obama https://t.co/GgCSOSTbGp,https://pbs.twimg.com/profile_images/945089989100101632/Ct8ujBhb_normal.jpg,6144
121,"Typhanie, 6",RT @brincanageem: Les gens qui mettent en story un screen d un appel avec 2h de durée et ils rayent le nom comme s ils parlent avec Obama f…,https://pbs.twimg.com/profile_images/945089989100101632/Ct8ujBhb_normal.jpg,6144
1120,royalista joe,RT @TrumpSuperPAC: Obama’s Attorney General Loretta Lynch did everything in her power to make sure Hillary did not pay for her crimes! Obam…,https://pbs.twimg.com/profile_images/769731314257846272/J4ol0Z88_normal.jpg,6110
1142,maracuja ||,RT @brincanageem: Les gens qui mettent en story un screen d un appel avec 2h de durée et ils rayent le nom comme s ils parlent avec Obama f…,https://pbs.twimg.com/profile_images/941457745659777024/VSnjTlfI_normal.jpg,6091
1981,Monica M,"RT @BarackObama: On behalf of the Obama family, Merry Christmas! We wish you joy and peace this holiday season. https://t.co/CNFUZrhrBj",https://pbs.twimg.com/profile_images/676531962962681857/t_0J_5eg_normal.jpg,6033
962,DEMs2018,@RNRKentucky @BarackObama Your ignorance is showing. Obama said Merry Christmas every year since...  Forever. Anoth… https://t.co/iB5QgTtQuH,https://pbs.twimg.com/profile_images/938949498423926784/EuGDkDBt_normal.jpg,5989
1602,Lisa Greene,"""I think the main thing I'll say to [#Trump] is, #1, however u campaigned, once ur in this office, u r part of a le… https://t.co/oIQlr6hMhX",https://pbs.twimg.com/profile_images/836441008825061376/6BfXJMTM_normal.jpg,5871
1523,DEPLORABLE jc,Trump Set To Reverse ANOTHER Shameful Obama Policy https://t.co/YAkE2CVZ6p,https://pbs.twimg.com/profile_images/663529151706476544/dPaNRkyF_normal.jpg,5849
0,Paul Rosenzweig,RT @adamentous: Obama asked the CIA to plan a half-dozen covert operations against Russia under a secret global cyber “finding.” When Trump…,https://pbs.twimg.com/profile_images/933388420268863489/CH1hqxG6_normal.jpg,5685
1900,This Is Not Normal,"RT @BarackObama: On behalf of the Obama family, Merry Christmas! We wish you joy and peace this holiday season. https://t.co/CNFUZrhrBj",https://pbs.twimg.com/profile_images/572121924323389440/cC0UpWrS_normal.jpeg,5571
1680,Deplorable SGT Rich,RT @MsAvaArmstrong: 8 years of Obama nearly stripped this country of its identity. That scares the crap out of me.,https://pbs.twimg.com/profile_images/781597194277322752/ZTAPr2ge_normal.jpg,5555
1085,Mary,RT @Libertea2012: Obama’s Christmas tweet Is more popular than Trump’s https://t.co/fILbUrfE1Z,https://pbs.twimg.com/profile_images/797890471183818753/cJN2YPbI_normal.jpg,5497
265,PeterM-Trump🚂 & MAGA-Followback,This is more what #Merkel and the #EU has done. Imo the aim of #Obama was to destroy the #USA from within &amp; with th… https://t.co/g78AaQuQdz,https://pbs.twimg.com/profile_images/824551239715319808/ZYdMTHjl_normal.jpg,5496
1581,Sterling Gibbs,"RT @BarackObama: On behalf of the Obama family, Merry Christmas! We wish you joy and peace this holiday season. https://t.co/CNFUZrhrBj",https://pbs.twimg.com/profile_images/856311827294289920/2psZV_ga_normal.jpg,5467
430,"MHarvey is goddamn tired, y'all",RT @profcarroll: This hit me pretty hard too. 43rd missed his shot to build a defence against Osama Bin Laden’s jihad attack and then 44th…,https://pbs.twimg.com/profile_images/861327696709734400/z32EiBqQ_normal.jpg,5445
1333,Garrett Ventry,"Meanwhile, Nikki Haley is taking names, standing up for our allies, and leading sanctions against Russia and North… https://t.co/5wAoMuLSyQ",https://pbs.twimg.com/profile_images/943886474214367235/jt1NDsFf_normal.jpg,5417
